id,loan_status,prob
58645,1,0.8905
58646,0,0.0355
58647,1,0.5202
58648,0,0.0557
58649,0,0.1062
58650,1,0.8793
58651,0,0.013
58652,0,0.0211
58653,0,0.3158
58654,0,0.0657
58655,0,0.0395
58656,0,0.0884
58657,0,0.071
58658,0,0.0318
58659,0,0.0703
58660,0,0.2275
58661,0,0.0294
58662,0,0.0091
58663,0,0.0684
58664,0,0.0312
58665,0,0.0697
58666,0,0.0145
58667,0,0.01
58668,0,0.0188
58669,0,0.0201
58670,0,0.009
58671,0,0.1037
58672,0,0.0117
58673,1,0.7225
58674,0,0.0087
58675,0,0.0378
58676,0,0.1768
58677,0,0.0584
58678,0,0.0019
58679,0,0.39
58680,1,0.7523
58681,0,0.0831
58682,0,0.0103
58683,0,0.0297
58684,0,0.0695
58685,0,0.1254
58686,0,0.04
58687,1,0.6254
58688,0,0.0136
58689,0,0.265
58690,0,0.0065
58691,0,0.0648
58692,0,0.0713
58693,0,0.0108
58694,0,0.0363
58695,1,0.883
58696,0,0.0329
58697,0,0.0691
58698,0,0.0505
58699,0,0.0559
58700,0,0.0156
58701,0,0.0348
58702,0,0.0522
58703,0,0.1727
58704,0,0.1186
58705,0,0.2155
58706,0,0.0449
58707,0,0.0323
58708,0,0.0511
58709,1,0.8161
58710,0,0.0349
58711,1,0.8573
58712,0,0.0513
58713,0,0.0006
58714,0,0.0465
58715,0,0.0238
58716,0,0.0342
58717,0,0.0231
58718,0,0.1302
58719,0,0.0052
58720,0,0.0082
58721,0,0.0768
58722,0,0.1124
58723,0,0.0429
58724,0,0.0253
58725,0,0.0386
58726,0,0.0516
58727,0,0.4871
58728,0,0.1416
58729,0,0.0174
58730,0,0.0664
58731,0,0.0431
58732,0,0.0381
58733,0,0.0043
58734,0,0.0152
58735,0,0.0373
58736,0,0.0809
58737,0,0.151
58738,1,0.7815
58739,0,0.4392
58740,1,0.8012
58741,0,0.0452
58742,0,0.0219
58743,0,0.0467
58744,0,0.0364
58745,0,0.0217
58746,0,0.0972
58747,0,0.0189
58748,0,0.0309
58749,0,0.0658
58750,0,0.0707
58751,0,0.2379
58752,1,0.5463
58753,0,0.019
58754,0,0.0747
58755,0,0.147
58756,0,0.019
58757,0,0.0306
58758,0,0.0166
58759,0,0.0051
58760,0,0.0131
58761,0,0.0225
58762,0,0.0128
58763,1,0.9995
58764,0,0.0065
58765,0,0.0765
58766,0,0.0503
58767,0,0.037
58768,1,0.8227
58769,0,0.0295
58770,0,0.0691
58771,0,0.073
58772,0,0.0708
58773,0,0.0538
58774,0,0.0329
58775,1,0.6786
58776,0,0.3614
58777,0,0.0322
58778,0,0.0292
58779,0,0.0482
58780,0,0.0338
58781,0,0.0312
58782,0,0.032
58783,0,0.0654
58784,0,0.0358
58785,0,0.0083
58786,0,0.0426
58787,1,0.5033
58788,0,0.1011
58789,0,0.0708
58790,0,0.0744
58791,0,0.0763
58792,0,0.0064
58793,0,0.1415
58794,0,0.0371
58795,0,0.134
58796,0,0.0566
58797,0,0.0773
58798,0,0.2546
58799,1,0.8801
58800,0,0.0448
58801,0,0.0169
58802,0,0.4594
58803,0,0.0967
58804,1,0.8308
58805,1,0.9
58806,0,0.1819
58807,0,0.0153
58808,0,0.0093
58809,1,0.8177
58810,1,0.847
58811,0,0.0357
58812,0,0.0482
58813,0,0.0288
58814,0,0.0896
58815,0,0.0292
58816,0,0.0706
58817,0,0.0058
58818,0,0.0821
58819,0,0.0587
58820,0,0.0118
58821,0,0.0585
58822,0,0.0258
58823,0,0.0991
58824,0,0.0659
58825,0,0.0104
58826,0,0.1105
58827,0,0.0759
58828,0,0.0285
58829,0,0.0719
58830,0,0.0294
58831,0,0.12
58832,0,0.0535
58833,0,0.0101
58834,0,0.0237
58835,1,0.8342
58836,0,0.069
58837,0,0.3573
58838,0,0.0182
58839,0,0.0142
58840,0,0.0393
58841,1,0.8379
58842,0,0.0164
58843,0,0.0287
58844,0,0.0423
58845,0,0.043
58846,0,0.0041
58847,1,0.8332
58848,0,0.1924
58849,0,0.323
58850,0,0.0857
58851,0,0.1271
58852,0,0.1387
58853,0,0.0588
58854,1,0.995
58855,0,0.2829
58856,0,0.0132
58857,0,0.0899
58858,0,0.2119
58859,0,0.0505
58860,0,0.0335
58861,0,0.1262
58862,0,0.17
58863,0,0.2488
58864,0,0.0474
58865,0,0.2804
58866,0,0.0253
58867,0,0.0031
58868,0,0.0317
58869,0,0.036
58870,0,0.2143
58871,0,0.0119
58872,0,0.0524
58873,0,0.0523
58874,1,0.9322
58875,0,0.0387
58876,0,0.0144
58877,0,0.014
58878,0,0.0324
58879,0,0.0262
58880,0,0.0217
58881,0,0.0283
58882,0,0.0101
58883,0,0.2099
58884,1,0.5677
58885,0,0.0695
58886,0,0.011
58887,1,0.8769
58888,0,0.0846
58889,1,0.9378
58890,0,0.2172
58891,0,0.1156
58892,0,0.0545
58893,0,0.0221
58894,0,0.0318
58895,0,0.0107
58896,0,0.0267
58897,0,0.1517
58898,0,0.1309
58899,1,0.6921
58900,0,0.0401
58901,0,0.0429
58902,0,0.1288
58903,0,0.0125
58904,0,0.0675
58905,0,0.0106
58906,0,0.1123
58907,0,0.0779
58908,0,0.0071
58909,0,0.1765
58910,0,0.0056
58911,0,0.028
58912,0,0.0129
58913,0,0.0554
58914,0,0.0191
58915,0,0.0402
58916,0,0.0433
58917,0,0.1114
58918,0,0.0204
58919,0,0.0397
58920,0,0.2825
58921,0,0.0195
58922,0,0.0587
58923,0,0.0182
58924,0,0.0486
58925,0,0.0696
58926,0,0.1188
58927,0,0.0554
58928,0,0.1433
58929,0,0.0098
58930,0,0.0586
58931,1,0.9876
58932,1,0.8113
58933,0,0.1503
58934,0,0.0815
58935,0,0.0436
58936,0,0.0602
58937,0,0.0161
58938,0,0.0712
58939,0,0.0173
58940,0,0.0317
58941,1,0.9811
58942,1,0.8667
58943,0,0.0162
58944,0,0.0382
58945,0,0.0809
58946,0,0.0735
58947,0,0.0135
58948,0,0.0435
58949,0,0.0151
58950,0,0.1362
58951,0,0.0537
58952,0,0.0198
58953,0,0.0258
58954,1,0.6005
58955,0,0.0725
58956,0,0.0072
58957,1,0.9933
58958,1,0.9918
58959,0,0.0121
58960,0,0.0437
58961,0,0.0089
58962,0,0.1099
58963,0,0.1622
58964,0,0.0607
58965,0,0.0314
58966,0,0.0303
58967,0,0.0183
58968,0,0.0189
58969,1,0.5187
58970,0,0.0196
58971,0,0.0826
58972,0,0.0638
58973,1,0.933
58974,0,0.0509
58975,0,0.1432
58976,0,0.0721
58977,0,0.0414
58978,0,0.0424
58979,0,0.0754
58980,0,0.0282
58981,0,0.0147
58982,0,0.0077
58983,0,0.0113
58984,0,0.0247
